Class,Test,Display,Timestamp,Range,Item Count,Scenario,Queries,Start Duration Inclusive,End Duration Exclusive,Count
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,39810.71705534969,50118.72336272725,1
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,50118.72336272725,63095.7344480193,2
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,63095.7344480193,79432.82347242821,1
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,79432.82347242821,100000.0,4
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,100000.0,125892.54117941661,3
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,125892.54117941661,158489.3192461114,2
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,158489.3192461114,199526.2314968879,1
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,199526.2314968879,251188.6431509582,3
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,316227.7660168379,398107.1705534969,2
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,501187.2336272725,630957.344480193,1
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,630957.344480193,794328.2347242822,1
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,794328.2347242822,1000000.0,1
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,1258925.411794166,1584893.1924611141,2
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[2] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_000, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1000,Tiny,10000,1995262.3149688789,2511886.4315095823,1
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,630.957344480193,794.3282347242813,262
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,794.3282347242813,1000.0,569
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,1000.0,1258.9254117941675,4427
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,1258.9254117941675,1584.893192461114,2372
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,1584.893192461114,1995.2623149688789,840
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,1995.2623149688789,2511.88643150958,535
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,2511.88643150958,3162.2776601683795,357
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,3162.2776601683795,3981.0717055349733,223
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,3981.0717055349733,5011.872336272725,134
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,5011.872336272725,6309.57344480193,142
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,6309.57344480193,7943.282347242814,51
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Gaussian,"[3] Random Gaussian Sampling Scenario = Tiny, ITEM_COUNT = 1_250, RANGE = 1_000_000.0, QUERIES = 10_000",2024-01-08T07:42:57.6626174,1000000.0,1250,Tiny,10000,7943.282347242814,10000.0,27
