Class,Test,Display,Timestamp,Scenario,Item Count,Range,Queries,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[21] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 200_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Medium Some,200000,1000000.0,10000,200000,204240400,10000,8851800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[22] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 300_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Medium Some,300000,1000000.0,10000,300000,291978600,10000,8960500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[23] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 400_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Medium Some,400000,1000000.0,10000,400000,374712500,10000,8450000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[24] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 500_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Medium Some,500000,1000000.0,10000,500000,531458800,10000,9312900
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[25] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 600_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Medium Some,600000,1000000.0,10000,600000,542294100,10000,8930900
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[26] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 700_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Medium Some,700000,1000000.0,10000,700000,746357700,10000,6913000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[27] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 800_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Medium Some,800000,1000000.0,10000,800000,785160700,10000,8045500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[28] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 900_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Medium Some,900000,1000000.0,10000,900000,902618400,10000,9825700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[29] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 1_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,1000000,1000000.0,10000,1000000,1023663300,10000,7019500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[30] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 2_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,2000000,1000000.0,10000,2000000,1939209800,10000,7226800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[31] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 3_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,3000000,1000000.0,10000,3000000,2988685800,10000,8248900
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[32] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 4_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,4000000,1000000.0,10000,4000000,4003439800,10000,6148200
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[33] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 5_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,5000000,1000000.0,10000,5000000,5082243300,10000,6437500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[34] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 6_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,6000000,1000000.0,10000,6000000,5961073400,10000,6070800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[35] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 7_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,7000000,1000000.0,10000,7000000,7218547700,10000,5715000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[36] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 8_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,8000000,1000000.0,10000,8000000,7907749500,10000,6077500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[37] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 9_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Large Some,9000000,1000000.0,10000,9000000,9229427700,10000,5737000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[38] Random Linear Sampling Scenario = Huge Some, ITEM_COUNT = 10_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-28T20:01:06.5462956,Huge Some,10000000,1000000.0,10000,10000000,10317596800,10000,6845100
