Class,Test,Display,Timestamp,Range,Item Count,Scenario,Queries,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[21] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 200_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,200000,Medium Some,10000,200000,28887300,10000,24678100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[22] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 300_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,300000,Medium Some,10000,300000,51703200,10000,43115400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[23] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 400_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,400000,Medium Some,10000,400000,66954100,10000,44465600
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[24] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 500_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,500000,Medium Some,10000,500000,77314600,10000,56970800
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[25] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 600_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,600000,Medium Some,10000,600000,88992600,10000,55028500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[26] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 700_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,700000,Medium Some,10000,700000,125192700,10000,66520700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[27] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 800_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,800000,Medium Some,10000,800000,148511900,10000,49669300
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[28] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 900_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,900000,Medium Some,10000,900000,170753200,10000,49911100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[29] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 1_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,1000000,Large Some,10000,1000000,209627600,10000,63293700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[30] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 2_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,2000000,Large Some,10000,2000000,920968600,10000,14049700
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[31] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 3_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,3000000,Large Some,10000,3000000,1562776900,10000,11700000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[32] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 4_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,4000000,Large Some,10000,4000000,2253836300,10000,8492400
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[33] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 5_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,5000000,Large Some,10000,5000000,2685806200,10000,9414500
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[34] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 6_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,6000000,Large Some,10000,6000000,3331972400,10000,7982900
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[35] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 7_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,7000000,Large Some,10000,7000000,4415601600,10000,6539000
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[36] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 8_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,8000000,Large Some,10000,8000000,4511084800,10000,6322600
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[37] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 9_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,9000000,Large Some,10000,9000000,6938492900,10000,6846100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[38] Random Linear Sampling Scenario = Huge Some, ITEM_COUNT = 10_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T16:36:37.6445531,1000000.0,10000000,Huge Some,10000,10000000,5773689300,10000,6584800
