Class,Test,Display,Timestamp,Scenario,Queries,Range,Item Count,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[21] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 200_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Medium Some,10000,1000000.0,200000,200000,512576624,10000,15333406
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[22] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 300_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Medium Some,10000,1000000.0,300000,300000,917338603,10000,17583692
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[23] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 400_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Medium Some,10000,1000000.0,400000,400000,1006818268,10000,15423599
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[24] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 500_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Medium Some,10000,1000000.0,500000,500000,2036892591,10000,22614690
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[25] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 600_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Medium Some,10000,1000000.0,600000,600000,1795297021,10000,18638209
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[26] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 700_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Medium Some,10000,1000000.0,700000,700000,2295248043,10000,19135409
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[27] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 800_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Medium Some,10000,1000000.0,800000,800000,2261987071,10000,13885996
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[28] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 900_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Medium Some,10000,1000000.0,900000,900000,2403554483,10000,22580596
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[29] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 1_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,1000000,1000000,4409800124,10000,15758100
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[30] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 2_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,2000000,2000000,5212825765,10000,31210091
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[31] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 3_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,3000000,3000000,7796528080,10000,11190705
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[32] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 4_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,4000000,4000000,9333040549,10000,10227795
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[33] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 5_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,5000000,5000000,10718273348,10000,9332307
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[34] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 6_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,6000000,6000000,13545097885,10000,8707276
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[35] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 7_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,7000000,7000000,15270996577,10000,8843495
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[36] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 8_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,8000000,8000000,17507027337,10000,9154097
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[37] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 9_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Large Some,10000,1000000.0,9000000,9000000,24344581634,10000,10329997
io.nanovc.indexing.examples.x.XIndex1DTests$RepoTests,index_Random_Linear,"[38] Random Linear Sampling Scenario = Huge Some, ITEM_COUNT = 10_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-21T19:25:29.0551178,Huge Some,10000,1000000.0,10000000,10000000,25766255071,10000,8419105
