Class,Test,Display,Timestamp,Item Count,Range,Queries,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[19] Random Gaussian Sampling Scenario = Small Few, ITEM_COUNT = 90_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,90000,1000000.0,1000,Small Few,90000,50940600,1000,1856400
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[20] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 100_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,100000,1000000.0,1000,Medium Few,100000,23980300,1000,1559900
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[21] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 200_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,200000,1000000.0,1000,Medium Few,200000,116310300,1000,2357900
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[22] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 300_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,300000,1000000.0,1000,Medium Few,300000,165503500,1000,3898600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[23] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 400_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,400000,1000000.0,1000,Medium Few,400000,249017000,1000,2955500
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[24] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 500_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,500000,1000000.0,1000,Medium Few,500000,207286400,1000,1926900
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[25] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 600_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,600000,1000000.0,1000,Medium Few,600000,234118000,1000,2383600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[26] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 700_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,700000,1000000.0,1000,Medium Few,700000,274619600,1000,35651600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[27] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 800_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,800000,1000000.0,1000,Medium Few,800000,293140800,1000,2418300
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[28] Random Gaussian Sampling Scenario = Medium Few, ITEM_COUNT = 900_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,900000,1000000.0,1000,Medium Few,900000,319813700,1000,3542800
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[29] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 1_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,1000000,1000000.0,1000,Large Few,1000000,414032100,1000,2012600
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[30] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 2_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,2000000,1000000.0,1000,Large Few,2000000,716254400,1000,80082700
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[31] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 3_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,3000000,1000000.0,1000,Large Few,3000000,1125517100,1000,6121400
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[32] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 4_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,4000000,1000000.0,1000,Large Few,4000000,1685385400,1000,5963800
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[33] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 5_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,5000000,1000000.0,1000,Large Few,5000000,1739528500,1000,86195500
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[34] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 6_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,6000000,1000000.0,1000,Large Few,6000000,3857116000,1000,11777000
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[35] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 7_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,7000000,1000000.0,1000,Large Few,7000000,3478869300,1000,105204900
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[36] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 8_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,8000000,1000000.0,1000,Large Few,8000000,3537824700,1000,8281100
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[37] Random Gaussian Sampling Scenario = Large Few, ITEM_COUNT = 9_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,9000000,1000000.0,1000,Large Few,9000000,3873464200,1000,96019500
io.nanovc.indexing.examples.x.XIndex1DTests$HierarchicalGridDiv100Max10Tests,index_Random_Gaussian,"[38] Random Gaussian Sampling Scenario = Huge Few, ITEM_COUNT = 10_000_000, RANGE = 1_000_000.0, QUERIES = 1_000",2023-12-18T20:52:42.106647,10000000,1000000.0,1000,Huge Few,10000000,4562803000,1000,8299100
