Class,Test,Display,Timestamp,Item Count,Range,Queries,Scenario,Item Count,Add Duration Nanos,Query Count,Search Duration Nanos
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[21] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 200_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,200000,1000000.0,10000,Medium Some,200000,7486900,10000,12006015100
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[22] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 300_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,300000,1000000.0,10000,Medium Some,300000,13093500,10000,18167193800
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[23] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 400_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,400000,1000000.0,10000,Medium Some,400000,17372200,10000,25476201700
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[24] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 500_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,500000,1000000.0,10000,Medium Some,500000,19433600,10000,30676555900
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[25] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 600_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,600000,1000000.0,10000,Medium Some,600000,24254400,10000,38083429400
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[26] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 700_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,700000,1000000.0,10000,Medium Some,700000,27866000,10000,42525899000
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[27] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 800_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,800000,1000000.0,10000,Medium Some,800000,30103100,10000,48759089000
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[28] Random Linear Sampling Scenario = Medium Some, ITEM_COUNT = 900_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,900000,1000000.0,10000,Medium Some,900000,36701600,10000,54788190700
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[29] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 1_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,1000000,1000000.0,10000,Large Some,1000000,39634700,10000,61390938600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[30] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 2_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,2000000,1000000.0,10000,Large Some,2000000,82060700,10000,122305712900
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[31] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 3_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,3000000,1000000.0,10000,Large Some,3000000,123260100,10000,183964411200
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[32] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 4_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,4000000,1000000.0,10000,Large Some,4000000,156521200,10000,243499104600
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[33] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 5_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,5000000,1000000.0,10000,Large Some,5000000,256539200,10000,304860624300
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[34] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 6_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,6000000,1000000.0,10000,Large Some,6000000,257912600,10000,367033317400
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[35] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 7_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,7000000,1000000.0,10000,Large Some,7000000,372616400,10000,428006037400
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[36] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 8_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,8000000,1000000.0,10000,Large Some,8000000,405434300,10000,489259901200
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[37] Random Linear Sampling Scenario = Large Some, ITEM_COUNT = 9_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,9000000,1000000.0,10000,Large Some,9000000,375294100,10000,550836770800
io.nanovc.indexing.examples.x.XIndex1DTests$LinearTests,index_Random_Linear,"[38] Random Linear Sampling Scenario = Huge Some, ITEM_COUNT = 10_000_000, RANGE = 1_000_000.0, QUERIES = 10_000",2023-12-19T00:39:10.3495276,10000000,1000000.0,10000,Huge Some,10000000,730421700,10000,609864438200
